Tipo,Referencia,Fecha Alta,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
Parking,13,2004-01-04,Venta,Barcelona,300,2937300,2004-11-04,Jesús
Suelo,38,2004-01-17,Alquiler,Tarragona,300,1492800,2004-12-08,Joaquín
Oficina,45,2004-01-20,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
Parking,79,2004-01-31,Venta,Barcelona,298,2520484,2004-11-27,Carmen
Suelo,90,2004-02-04,Venta,Girona,292,2685816,2004-07-24,Pedro
Piso,106,2004-02-10,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
Suelo,109,2004-02-12,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
Casa,282,2004-04-18,Venta,Girona,285,2534505,2004-12-28,Jesús
Suelo,297,2004-04-23,Alquiler,Girona,288,2699136,2004-07-28,Pedro
Casa,304,2004-04-26,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
Industrial,316,2004-05-02,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
Local,380,2004-05-25,Venta,Lleida,269,2586704,2005-03-27,Carmen
Suelo,382,2004-05-26,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
Suelo,391,2004-05-30,Venta,Girona,300,1483500,2005-03-29,Carmen
Piso,401,2004-06-02,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
Oficina,439,2004-06-15,Alquiler,Girona,298,2524358,2004-10-23,Luisa
Industrial,465,2004-06-24,Alquiler,Lleida,268,2628812,2005-03-15,Pedro
Oficina,495,2004-07-03,Venta,Barcelona,268,2578696,2005-06-28,Luisa
Industrial,582,2004-07-31,Venta,Lleida,290,2584480,2004-11-22,Jesús
Casa,611,2004-08-11,Venta,Barcelona,294,2658936,2005-06-21,Luisa
Piso,634,2004-08-18,Alquiler,Tarragona,283,2576432,2005-05-13,María
Piso,639,2004-08-19,Alquiler,Girona,277,2646181,2005-07-04,Carmen
Oficina,655,2004-08-22,Venta,Girona,293,2787016,2005-03-23,Luisa
Piso,702,2004-09-07,Alquiler,Girona,295,2553225,2005-01-14,Carmen
Piso,704,2004-09-08,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
Industrial,873,2004-11-09,Alquiler,Lleida,295,2923155,2005-05-06,Luisa
Casa,891,2004-11-13,Venta,Girona,255,2543625,2005-08-29,Pedro
Oficina,902,2004-11-17,Alquiler,Barcelona,294,2722146,2005-11-05,Joaquín
Piso,969,2004-12-14,Venta,Lleida,272,2581552,2005-10-22,Pedro
Parking,1000,2004-12-24,Venta,Lleida,300,2707200,2005-10-15,Luisa
Piso,1002,2004-12-25,Alquiler,Barcelona,292,2677056,2005-07-22,María
Suelo,1066,2005-01-20,Venta,Girona,287,2808008,2005-06-24,Pedro
Piso,1086,2005-01-25,Alquiler,Lleida,260,2546180,2005-05-23,Carmen
Local,1095,2005-02-01,Venta,Barcelona,300,1772700,2006-01-03,María
Parking,1118,2005-02-09,Alquiler,Lleida,293,2741308,2005-10-20,María
Piso,1154,2005-02-20,Alquiler,Barcelona,292,2865688,2005-08-21,Carmen
Piso,1216,2005-03-10,Alquiler,Lleida,281,2688046,2005-10-24,Luisa
Industrial,1240,2005-03-19,Alquiler,Lleida,285,2562435,2005-06-20,Carmen
Parking,1286,2005-04-05,Alquiler,Girona,297,2872287,2005-09-16,Luisa
Suelo,1301,2005-04-10,Venta,Tarragona,299,2531334,2005-12-18,Carmen
Industrial,1307,2005-04-15,Venta,Girona,264,2589312,2005-07-20,Pedro
Industrial,1336,2005-04-22,Alquiler,Tarragona,266,2583126,2005-12-02,Pedro
Industrial,1372,2005-05-04,Venta,Barcelona,286,2633774,2005-09-01,Carmen
Industrial,1470,2005-06-09,Alquiler,Tarragona,274,2690954,2006-05-17,Joaquín
Casa,1474,2005-06-11,Alquiler,Tarragona,269,2549313,2006-02-20,Carmen
Parking,1484,2005-06-13,Alquiler,Barcelona,282,2677590,2006-04-08,Luisa
Suelo,1496,2005-06-18,Venta,Lleida,278,2520904,2006-05-12,Luisa
Suelo,1506,2005-06-22,Alquiler,Girona,256,2512640,2006-03-16,Jesús
Casa,1508,2005-06-22,Venta,Girona,274,2594780,2006-02-23,María
Local,1572,2005-07-18,Alquiler,Barcelona,300,1716300,2006-04-21,María
Suelo,1583,2005-07-22,Alquiler,Girona,300,1832100,2006-05-02,Carmen
Local,1631,2005-08-07,Alquiler,Barcelona,300,1900200,2005-12-09,Pedro
Parking,1639,2005-08-09,Venta,Lleida,300,2155200,2006-08-05,Jesús
Industrial,1642,2005-08-10,Venta,Lleida,276,2667816,2005-12-16,Joaquín
Local,1647,2005-08-12,Venta,Tarragona,297,2888325,2005-11-27,Pedro
Industrial,1677,2005-08-27,Venta,Lleida,300,2625600,2006-01-08,María
Casa,1743,2005-09-17,Venta,Girona,292,2630336,2006-01-08,Joaquín
Piso,1783,2005-10-03,Venta,Lleida,300,1506300,2006-04-24,Pedro
Parking,1787,2005-10-03,Venta,Tarragona,299,2669472,2006-06-10,Joaquín
Parking,1924,2005-11-25,Alquiler,Tarragona,295,2613405,2006-11-23,Carmen
Oficina,1957,2005-12-08,Alquiler,Barcelona,293,2868470,2006-03-18,Luisa
Local,1980,2005-12-20,Venta,Lleida,281,2671748,2006-12-18,Carmen
Piso,1985,2005-12-21,Venta,Tarragona,289,2789428,2006-04-29,Pedro
Casa,1989,2005-12-22,Venta,Barcelona,276,2548584,2006-10-13,Jesús
Piso,2003,2005-12-26,Alquiler,Tarragona,300,1432500,2006-06-21,María
Casa,2016,2005-12-31,Alquiler,Girona,284,2815292,2006-12-07,Jesús
Casa,2207,2006-02-28,Venta,Barcelona,281,2577332,2006-07-03,Carmen
Oficina,2266,2006-03-21,Venta,Girona,290,2797050,2006-10-02,Luisa
Local,2308,2006-04-05,Alquiler,Lleida,261,2598516,2006-08-29,Carmen
Casa,2376,2006-05-01,Alquiler,Tarragona,296,2813776,2006-10-22,Luisa
Piso,2395,2006-05-10,Alquiler,Tarragona,300,2585100,2006-10-15,Luisa
Suelo,2425,2006-05-20,Venta,Barcelona,285,2603190,2006-11-15,Joaquín
Casa,2429,2006-05-21,Venta,Girona,273,2682225,,
Industrial,2485,2006-06-07,Alquiler,Tarragona,270,2632500,2007-04-18,Carmen
Industrial,2490,2006-06-10,Alquiler,Tarragona,298,2693026,,
Parking,2503,2006-06-13,Venta,Girona,282,2717634,2006-11-30,Pedro
Oficina,2542,2006-06-30,Venta,Girona,291,2849763,2007-04-28,Joaquín
Piso,2577,2006-07-13,Alquiler,Lleida,290,2702220,2007-03-16,Carmen
Suelo,2590,2006-07-19,Alquiler,Lleida,273,2682225,2007-02-04,Pedro
Casa,2613,2006-07-28,Venta,Barcelona,294,2618364,,
Oficina,2622,2006-07-31,Alquiler,Lleida,291,2874207,2007-04-24,Jesús
Piso,2654,2006-08-13,Alquiler,Girona,297,2909412,,
Oficina,2666,2006-08-21,Venta,Barcelona,258,2539236,2007-01-11,Joaquín
Piso,2676,2006-08-23,Venta,Girona,294,2574558,,
Oficina,2697,2006-08-31,Venta,Barcelona,298,2977318,,
Casa,2703,2006-09-04,Venta,Barcelona,289,2534241,2007-01-28,María
Piso,2731,2006-09-13,Venta,Barcelona,294,2885316,2007-02-13,María
Oficina,2806,2006-10-13,Alquiler,Tarragona,271,2621925,2007-02-19,Carmen
Suelo,2808,2006-10-14,Alquiler,Tarragona,293,2560527,,
Casa,2825,2006-10-22,Venta,Lleida,275,2669425,2007-03-23,Jesús
Suelo,2857,2006-11-03,Alquiler,Barcelona,283,2569923,2007-03-28,Pedro
Piso,2884,2006-11-09,Alquiler,Lleida,285,2565285,,
Industrial,2892,2006-11-13,Venta,Barcelona,262,2517034,,
Industrial,2971,2006-12-14,Alquiler,Barcelona,291,2797092,,
Casa,3007,2006-12-26,Alquiler,Girona,297,2673000,,
Oficina,3025,2007-01-04,Alquiler,Lleida,293,2662784,,
Casa,3059,2007-01-14,Alquiler,Lleida,290,2797050,,
Oficina,3099,2007-01-29,Alquiler,Barcelona,296,2563064,,
Parking,3121,2007-02-06,Alquiler,Tarragona,292,2658076,,
Oficina,3126,2007-02-10,Venta,Tarragona,297,2902284,,
Casa,3236,2007-03-20,Alquiler,Girona,292,2765240,,
Industrial,3268,2007-04-01,Alquiler,Barcelona,300,2908500,,
Parking,3289,2007-04-09,Venta,Lleida,296,2914416,,
Suelo,3298,2007-04-12,Venta,Tarragona,282,2689434,,
Piso,3323,2007-04-23,Venta,Barcelona,283,2686236,,
Piso,3329,2007-04-26,Venta,Barcelona,264,2517504,,
